so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2,so2
39.48463242,-30.6283359,-36.70370872,-14.2279821,1.89368406,17.02869677,10.04285982,-13.53258289,-17.87406256,10.50284512,2.29023227,3.176617969,-2.25557984,69.42268358
39.59882692,-30.64378701,-29.44638841,-8.19747041,3.755301043,17.62166054,10.09928451,-13.65692956,-17.92638489,10.52157136,2.290372987,3.176959603,-2.255683474,69.42266678
29.24635236,-25.37984928,-17.69671124,-2.707309166,5.499974203,18.12517758,10.17273373,-13.78715253,-17.97799526,10.54012358,2.290491869,3.177300994,-2.255786812,69.42264998
7.328014049,-15.43050111,-2.982410858,2.154189366,7.089635314,18.53629842,10.26346715,-13.92326825,-18.02889962,10.55850121,2.290588878,3.177642142,-2.255889856,69.42263317
-17.54901453,-2.589073598,12.80169507,6.298781515,8.486216149,18.8520736,10.37171438,-14.06526314,-18.07910394,10.5767037,2.290663979,3.177983046,-2.255992604,69.42261637
-37.66346558,11.24700783,27.76078885,9.638223611,9.651648483,19.06955367,10.49767922,-14.21309776,-18.12861417,10.5947305,2.290717134,3.178323707,-2.256095058,69.42259955
18.46816014,23.3780863,40.00005282,12.08427199,10.54786409,19.18578916,10.64148027,-14.36664751,-18.17743626,10.61258105,2.290748308,3.178664125,-2.256197216,69.42258274
35.64025048,28.97361633,47.62466928,13.54868297,11.13679474,19.19780763,10.80323778,-14.52576644,-18.22557617,10.63025479,2.290757462,3.1790043,-2.256299078,69.42256592
34.74215708,23.89178018,49.25612905,13.94321289,11.38037222,19.10264011,10.98304535,-14.69028545,-18.27303986,10.64775117,2.290744561,3.179344232,-2.256400645,69.4225491
-8.432918053,10.76085023,45.57882844,13.22827661,11.25378949,18.89898063,11.18047495,-14.8599425,-18.31983328,10.66506964,2.290709569,3.179683921,-2.256501917,69.42253228
-31.53896877,-4.543316207,37.78415877,11.55892307,10.78528436,18.59083655,11.39468896,-15.03444233,-18.3659624,10.68220964,2.290652448,3.180023367,-2.256602893,69.42251545
-27.3755337,-16.34014262,27.06118295,9.138859767,10.01635583,18.18351975,11.62474085,-15.21345105,-18.41143317,10.6991706,2.290573162,3.18036257,-2.256703574,69.42249862
-16.37374746,-22.8174565,14.59896391,6.171794172,8.988502916,17.6823421,11.86967447,-15.39662508,-18.45625154,10.71595199,2.290471675,3.180701529,-2.256803959,69.42248179
-0.247713718,-24.65011631,1.586564566,2.861433768,7.74322461,17.09261547,12.12853364,-15.58362088,-18.50042348,10.73255324,2.290347951,3.181040245,-2.256904048,69.42246495
13.73522805,-22.52343516,-10.9332617,-0.588513966,6.322019921,16.41965172,12.40036222,-15.77409489,-18.54395494,10.7489738,2.290201953,3.181378716,-2.257003842,69.42244811
20.62567845,-16.53004761,-22.47838012,-3.974341548,4.766387853,15.66876275,12.68420404,-15.96770356,-18.58685187,10.7652131,2.290033645,3.181716943,-2.257103339,69.42243127
20.28285874,-7.254693525,-32.5731713,-7.092341498,3.117827411,14.8452604,12.97910293,-16.16410334,-18.62912024,10.78127061,2.289842991,3.182054926,-2.257202541,69.42241443
11.96263542,4.158628647,-40.51940247,-9.738806337,1.417837599,13.95445656,13.28410273,-16.36295065,-18.67076599,10.79714575,2.289629954,3.182392663,-2.257301447,69.42239758
2.29788529,14.15962181,-45.37955256,-11.71002858,-0.292082578,13.0016631,13.59824727,-16.56390196,-18.7117951,10.81283798,2.289394499,3.182730156,-2.257400057,69.42238073
