pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5
-22.4789048,0.689839654,39.8012273,3.842549658,19.21510942,87.22276428,27.33401254,-189.0946176,22.02651334,-20.47412549,239.7674282,-91.66405811,248.4222616
15.31329518,12.93820576,44.57780776,0.960497301,20.64396038,90.6004969,27.68064603,-189.8655534,22.08814338,-20.57089763,239.8366461,-91.66387562,248.4206278
24.08336358,44.45007594,45.80627986,-1.659897967,21.97264703,93.52195154,27.95885413,-190.5958918,22.1494501,-20.66793391,239.9057885,-91.66368085,248.4189938
-21.49739863,83.18352635,42.8812011,-3.947489015,23.1693664,95.96452762,28.16757099,-191.2852441,22.21043301,-20.7652348,239.9748554,-91.66347381,248.4173595
-20.4514608,82.21128275,35.55128207,-5.853670227,24.19971102,97.90573821,28.30573077,-191.9332218,22.27109163,-20.86280079,240.0438467,-91.66325451,248.415725
23.82882362,37.46584601,24.87358105,-7.337135761,25.02833454,99.32309634,28.37226761,-192.539436,22.33142545,-20.96063237,240.1127623,-91.66302292,248.4140902
-23.33391836,-27.05888876,12.1687816,-8.358107308,25.62141815,100.1941151,28.36611787,-193.1035005,22.391434,-21.05873002,240.1816022,-91.66277906,248.4124551
-3.861469792,-69.8682425,-1.258806581,-8.882972043,25.9512954,100.4960941,28.28648326,-193.6250676,22.45111676,-21.15709421,240.2503663,-91.66252292,248.4108198
10.85496534,-82.90811527,-14.10487379,-8.88707126,25.99431827,100.2101426,28.1338432,-194.1039413,22.51047326,-21.25572544,240.3190546,-91.66225449,248.4091842
20.52110546,-72.47153054,-25.21490927,-8.369789521,25.72721447,99.33992997,27.9099539,-194.540095,22.56950299,-21.35462419,240.3876671,-91.66197377,248.4075484
20.42943125,-48.5959447,-34.06673162,-7.382345418,25.15714788,97.91030282,27.61694051,-194.9336505,22.62820547,-21.45379094,240.4562036,-91.66168077,248.4059124
-0.047871698,-16.33618576,-40.42049275,-5.993969213,24.30503909,95.95036287,27.25706101,-195.2848624,22.68658021,-21.55322617,240.5246642,-91.66137547,248.4042761
-20.41652933,17.78396342,-44.06947816,-4.283369666,23.20117804,93.489321,26.8326008,-195.5940128,22.7446267,-21.65293037,240.5930487,-91.66105788,248.4026395
-16.19389101,47.85234341,-44.81668011,-2.33073601,21.8869854,90.55644454,26.34584531,-195.8613839,22.80234447,-21.75290402,240.6613572,-91.66072799,248.4010027
0.167608586,69.90188006,-42.48741461,-0.199581339,20.40951981,87.18101052,25.79907996,-196.0872578,22.85973301,-21.8531476,240.7295895,-91.66038579,248.3993657
12.38221179,80.36882222,-36.85358156,1.991858553,18.81714641,83.39229599,25.19459016,-196.2719165,22.91679184,-21.9536616,240.7977457,-91.6600313,248.3977283
18.20453349,76.94514926,-27.77824024,4.120099256,17.15853535,79.21957799,24.53466133,-196.4156423,22.97352046,-22.0544465,240.8658256,-91.6596645,248.3960908
4.127270926,58.48715232,-15.69973393,6.064232196,15.4826708,74.69213356,23.82157889,-196.5187173,23.02991837,-22.15550278,240.9338293,-91.65928538,248.394453
-15.96977574,28.94205009,-1.904436458,7.702673318,13.83921244,69.83923974,23.05762825,-196.5814234,23.0859851,-22.25683093,241.0017567,-91.65889396,248.3928149
-10.1353534,-8.296409774,12.13329652,8.91259219,12.2790663,64.69017358,22.24509484,-196.6040428,23.14171999,-22.35843143,241.0696076,-91.65849022,248.3911766
1.236848288,-44.11953687,24.93910932,9.570848492,10.85344871,59.27421171,21.38626408,-196.5868568,23.19712184,-22.46030475,241.1373822,-91.65807416,248.389538
11.26578913,-69.49129027,35.03864629,9.567951735,9.600226598,53.62033034,20.48342137,-196.5301468,23.25218937,-22.5624514,241.2050802,-91.65764578,248.3878992
11.9352352,-75.74215298,40.95498126,8.849962723,8.507646759,47.75586269,19.53885214,-196.4341941,23.30692133,-22.66487184,241.2727017,-91.65720507,248.3862601
-0.583272348,-58.56924387,41.63274401,7.398302823,7.547996895,41.70604537,18.5548418,-196.29928,23.36131644,-22.76756657,241.3402467,-91.65675204,248.3846208
-14.21549842,-22.92205342,37.6997501,5.242305432,6.692628193,35.49563132,17.53367578,-196.1256859,23.41537346,-22.87053606,241.407715,-91.65628668,248.3829813
1.273609154,20.91712081,30.04927364,2.577835431,5.912900967,29.14936437,16.47763949,-195.9136932,23.46909112,-22.9737808,241.4751066,-91.65580899,248.3813415
14.3442272,57.97085661,19.5329939,-0.35764748,5.180164069,22.6919998,15.38901835,-195.6635832,23.52246816,-23.07730127,241.5424215,-91.65531896,248.3797014
-12.43285485,71.03935475,7.00435454,-3.326683605,4.465690381,16.14836886,14.27009778,-195.3756373,23.57550333,-23.18109796,241.6096596,-91.65481659,248.3780611
0.6204949,46.28384426,-6.52157144,-6.091813244,3.740683563,9.543372041,13.12316319,-195.0501367,23.62819537,-23.28517134,241.6768208,-91.65430189,248.3764205
13.80186648,0.126044529,-19.40965959,-8.415576699,2.976615803,2.901641279,11.95050001,-194.687363,23.68054302,-23.3895219,241.7439052,-91.65377484,248.3747797
-14.60381138,-43.7742355,-29.87021367,-10.06051427,2.14521344,-3.752445625,10.75439364,-194.2875973,23.73254502,-23.49415013,241.8109126,-91.65323544,248.3731386
0.715901255,-66.33469812,-36.11353746,-10.79175884,1.220731663,-10.39444715,9.537129513,-193.8511211,23.78420011,-23.59905651,241.877843,-91.65268369,248.3714973
