date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
11/26/2020 14:00,25.30116218,532.1451449,571.2757792,164.1088265,85.93956734,199.3452971,-662.5650667,2834.109794,-383.1177457,211.6472411
11/26/2020 15:00,158.9456831,693.3594512,671.2781288,197.8608216,73.86089497,133.5537445,-651.3198215,2846.756655,-384.7632029,212.497646
11/26/2020 16:00,255.1699336,689.2980918,661.5210425,223.6902157,61.54008361,67.42985469,-639.7300266,2859.569554,-386.4043244,213.3455753
11/26/2020 17:00,316.0297107,459.8678243,547.1847753,240.726363,49.17613983,1.119489534,-627.8003485,2872.546104,-388.0410783,214.1910194
11/26/2020 18:00,22.59173356,28.17743435,356.5338779,249.1642459,36.94519598,-65.23148917,-615.5354533,2885.683919,-389.6734332,215.0339687
11/26/2020 19:00,-287.926987,-401.8830696,121.8614978,249.5438329,24.89828702,-131.4772196,-602.9400074,2898.98061,-391.3013572,215.8744136
11/26/2020 20:00,-137.5700927,-633.6730264,-124.5392173,242.5458641,12.94567605,-197.4718399,-590.0186771,2912.433788,-392.924819,216.7123447
11/26/2020 21:00,33.25830027,-687.0974995,-350.3389209,228.8054032,1.04330274,-263.0694883,-576.7761287,2926.041066,-394.5437866,217.5477522
11/26/2020 22:00,41.51788539,-606.2938035,-529.3498248,208.887814,-10.7831934,-328.1243028,-563.2170285,2939.800055,-396.1582286,218.3806267
11/26/2020 23:00,-34.92470048,-405.0527636,-659.6375736,183.3445627,-22.49427529,-392.4904218,-549.3460428,2953.708369,-397.7681134,219.2109586
11/27/2020 0:00,-145.4428041,-134.0078543,-741.9151792,152.7269559,-34.0502462,-456.0219834,-535.1678379,2967.76362,-399.3734092,220.0387383
11/27/2020 1:00,-137.2232002,145.75167,-775.1764456,117.5863002,-45.41140941,-518.5731257,-520.6870802,2981.963419,-400.9740843,220.8639561
11/27/2020 2:00,74.6577672,374.0502684,-758.2810777,78.55565922,-56.53806817,-579.997987,-505.9084358,2996.305378,-402.5701073,221.6866026
