date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
11/26/2020 8:00,-10.26052089,-13.19671243,2.144599821,-6.893014978,4.65954145,-20.09729854,-27.67671797,11.71111868,12.79859137,28.83843204,-4.014956606,64.48693805
11/26/2020 9:00,-12.95717236,-12.93445909,7.698005959,-7.256916138,3.90562948,-20.07894564,-27.61895707,11.69915418,12.78145049,28.8394444,-4.014158324,64.48692412
11/26/2020 10:00,-5.716192229,-5.935641234,12.92348107,-7.508632731,3.146933697,-20.05676164,-27.55804357,11.68662142,12.76423463,28.84044879,-4.01335843,64.48691023
11/26/2020 11:00,9.176646167,4.145209856,17.56880732,-7.638090803,2.385756721,-20.03058215,-27.49399849,11.67352282,12.7469439,28.8414452,-4.012556926,64.48689638
11/26/2020 12:00,12.92243147,12.37530902,21.36315876,-7.635102969,1.62428774,-20.00024279,-27.42684286,11.65986079,12.72957844,28.84243364,-4.011753809,64.48688258
11/26/2020 13:00,-4.068400389,14.89252383,24.0357094,-7.488768198,0.864002298,-19.96557917,-27.35659771,11.64563773,12.71213838,28.84341409,-4.010949081,64.48686881
11/26/2020 14:00,-12.42245782,12.69390049,25.37349899,-7.187233754,0.105424234,-19.9264269,-27.28328406,11.63085606,12.69462386,28.84438655,-4.010142741,64.48685509
11/26/2020 15:00,-7.217098733,7.665771959,25.39680806,-6.720698196,-0.65064939,-19.88262158,-27.20692294,11.61551818,12.677035,28.84535103,-4.009334788,64.48684141
11/26/2020 16:00,0.475641184,1.20128328,24.1951757,-6.090893905,-1.403280516,-19.83399884,-27.12753539,11.5996265,12.65937194,28.84630751,-4.008525221,64.48682776
11/26/2020 17:00,8.354326876,-5.177021132,21.87704122,-5.318542731,-2.151441879,-19.78039428,-27.04514242,11.58318342,12.6416348,28.847256,-4.007714042,64.48681416
11/26/2020 18:00,10.3999039,-10.32897748,18.5551245,-4.428884622,-2.893868663,-19.7216435,-26.95976507,11.56619136,12.62382373,28.84819648,-4.006901248,64.4868006
11/26/2020 19:00,6.904549894,-13.95565404,14.34214543,-3.447217017,-3.629238564,-19.65758213,-26.87142436,11.54865272,12.60593886,28.84912897,-4.00608684,64.48678708
11/26/2020 20:00,1.559757862,-16.39743445,9.350823875,-2.398837353,-4.356229277,-19.58804577,-26.78014133,11.53056992,12.5879803,28.85005344,-4.005270818,64.4867736
11/26/2020 21:00,0.445009102,-17.67326238,3.694451424,-1.309043069,-5.073518496,-19.51287004,-26.68593699,11.51194535,12.5699482,28.85096991,-4.004453181,64.48676016
11/26/2020 22:00,-2.367207562,-16.78171507,-2.467054261,-0.203131601,-5.779783917,-19.43189053,-26.58883238,11.49278143,12.55184269,28.85187836,-4.003633928,64.48674677
11/26/2020 23:00,-5.337635262,-13.17984762,-8.792065711,0.893599611,-6.473703235,-19.34494288,-26.48884852,11.47308057,12.53366391,28.85277879,-4.00281306,64.48673341
11/27/2020 0:00,-7.06066323,-6.938435187,-14.88158931,1.95585313,-7.153954145,-19.25186268,-26.38600645,11.45284518,12.51541197,28.8536712,-4.001990576,64.48672009
11/27/2020 1:00,-3.613713824,1.419390482,-20.34124171,2.958331519,-7.819214341,-19.15248554,-26.28032718,11.43207765,12.49708701,28.85455559,-4.001166476,64.48670682
11/27/2020 2:00,6.653100437,10.22528566,-24.77873743,3.875737339,-8.46816152,-19.04664708,-26.17183176,11.41078041,12.47868917,28.85543195,-4.000340758,64.48669358
11/27/2020 3:00,0.054440078,17.43613358,-27.801791,4.682773152,-9.099473375,-18.93418291,-26.0605412,11.38895585,12.46021858,28.85630028,-3.999513424,64.48668039
11/27/2020 4:00,-6.388154076,18.7042099,-29.05038967,5.354141521,-9.711827603,-18.81492864,-25.94647653,11.36660639,12.44167537,28.85716057,-3.998684472,64.48666724
11/27/2020 5:00,-1.636994566,11.74858703,-28.3424947,5.869575646,-10.3039019,-18.68871988,-25.82965878,11.34373443,12.42305967,28.85801283,-3.997853902,64.48665412
11/27/2020 6:00,6.551139679,0.250486237,-25.72387239,6.229022091,-10.87446477,-18.55539224,-25.71010898,11.32034239,12.40437161,28.85885704,-3.997021714,64.48664105
11/27/2020 7:00,1.116794104,-10.63234312,-21.28917214,6.437913105,-11.42273977,-18.41478133,-25.58784816,11.29643267,12.38561132,28.85969321,-3.996187908,64.48662802
11/27/2020 8:00,-1.823309943,-17.7283276,-15.13304332,6.502187145,-11.94845667,-18.26672276,-25.46289735,11.27200768,12.36677895,28.86052133,-3.995352482,64.48661503
11/27/2020 9:00,-7.224657264,-18.38855672,-7.365266223,6.427869527,-12.45143208,-18.11105214,-25.33527756,11.24706982,12.3478746,28.86134139,-3.994515437,64.48660208
11/27/2020 10:00,-8.037779302,-10.76823931,1.693544854,6.220085586,-12.93058265,-17.94760509,-25.20500984,11.22162151,12.32889843,28.86215341,-3.993676773,64.48658917
11/27/2020 11:00,-2.789597348,1.830178328,11.1064029,5.883135149,-13.38399952,-17.77621721,-25.0721152,11.19566515,12.30985056,28.86295736,-3.992836488,64.48657631
11/27/2020 12:00,9.407771712,13.09975595,19.78601045,5.421161124,-13.80961688,-17.59672411,-24.93661467,11.16920316,12.29073113,28.86375325,-3.991994583,64.48656348
11/27/2020 13:00,6.712509852,17.85325446,26.64507006,4.838306417,-14.20536897,-17.40896141,-24.79852929,11.14223793,12.27154026,28.86454107,-3.991151057,64.48655069
11/27/2020 14:00,-5.002032361,15.29612664,30.72842375,4.138713934,-14.56918999,-17.21276472,-24.65788009,11.11477188,12.25227808,28.86532082,-3.99030591,64.48653795
11/27/2020 15:00,-11.8914701,7.650343719,31.70334796,3.326539517,-14.89901414,-17.00796964,-24.51468807,11.08680742,12.23294474,28.86609251,-3.989459142,64.48652524
11/27/2020 16:00,-8.908815677,-2.752422812,29.74017417,2.410580819,-15.19275303,-16.79443442,-24.36897429,11.05834695,12.21354035,28.86685611,-3.988610751,64.48651258
11/27/2020 17:00,5.211422469,-12.66289469,25.08474997,1.418008748,-15.4482275,-16.57210803,-24.22075976,11.02939289,12.19406506,28.86761163,-3.987760738,64.48649996
11/27/2020 18:00,14.9070982,-17.76415595,17.97833283,0.380584293,-15.66323485,-16.34096299,-24.07006551,10.99994763,12.17451899,28.86835907,-3.986909103,64.48648738
11/27/2020 19:00,8.624809197,-14.44905449,8.80320033,-0.669931559,-15.83557215,-16.10097205,-23.91691257,10.97001359,12.15490228,28.86909843,-3.986055844,64.48647483
11/27/2020 20:00,-6.805898552,-5.417652565,-1.474103953,-1.701777819,-15.96303647,-15.85210797,-23.76132197,10.93959318,12.13521505,28.86982969,-3.985200962,64.48646233
11/27/2020 21:00,-15.55779819,5.309268588,-11.66399832,-2.683193501,-16.04342488,-15.5943435,-23.60331473,10.9086888,12.11545745,28.87055286,-3.984344457,64.48644987
11/27/2020 22:00,-19.15626188,13.95612767,-20.61950197,-3.582417616,-16.07453445,-15.32765139,-23.44291189,10.87730287,12.09562959,28.87126793,-3.983486327,64.48643745
11/27/2020 23:00,-18.65897722,18.63542841,-27.4694037,-4.367689176,-16.05416228,-15.05200438,-23.28013446,10.84543778,12.07573162,28.8719749,-3.982626573,64.48642508
11/28/2020 0:00,-14.5702399,19.1887953,-31.60500501,-5.007247194,-15.980089,-14.76739165,-23.11500348,10.81309595,12.05576367,28.87267377,-3.981765193,64.48641274
11/28/2020 1:00,-4.503412759,16.4019209,-33.13260828,-5.46902299,-15.8503152,-14.47389013,-22.94753998,10.7802798,12.03572586,28.87336453,-3.980902189,64.48640044
11/28/2020 2:00,15.07838639,10.81879572,-32.39819141,-5.728507514,-15.66404596,-14.17168008,-22.77776499,10.74699171,12.01561833,28.87404717,-3.980037559,64.48638819
11/28/2020 3:00,25.18326001,3.611167933,-29.73124047,-5.796058759,-15.42106696,-13.86096393,-22.60569952,10.71323411,11.99544121,28.8747217,-3.979171303,64.48637597
11/28/2020 4:00,20.52945561,-4.399359294,-25.45237406,-5.691111604,-15.12095433,-13.54194424,-22.43136461,10.6790094,11.97519463,28.87538812,-3.978303421,64.4863638
11/28/2020 5:00,17.80871992,-12.08229481,-19.88459799,-5.433460393,-14.76292474,-13.21482357,-22.25478129,10.64431999,11.95487873,28.87604641,-3.977433912,64.48635167
11/28/2020 6:00,11.98994719,-18.51302966,-13.36218344,-5.040765762,-14.34832855,-12.87980449,-22.07597059,10.60916829,11.93449363,28.87669658,-3.976562776,64.48633957
11/28/2020 7:00,-6.541939533,-22.61548143,-6.226903793,-4.53005241,-13.87915206,-12.53708954,-21.89495353,10.5735567,11.91403947,28.87733862,-3.975690012,64.48632752
