E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
-6.458243602,0.919242672,11.36603623,8.04352786,-11.83050755,-8.736838544,-0.006471851,-5.2737008,2.0138847,-22.15308455,-4.963527721,67.83968316
-14.6198395,-13.02495117,3.418441517,9.183586266,-11.88117009,-8.329520711,0.050015041,-5.279308972,2.020606003,-22.16076166,-4.957145948,67.84004921
-1.37881796,-21.84231593,-4.710111114,10.09793452,-11.84702719,-7.891268801,0.107567488,-5.284582484,2.027445126,-22.1684844,-4.950754344,67.84041509
8.017374657,-24.71214522,-12.56284785,10.7747885,-11.72396155,-7.42430749,0.166033103,-5.289511612,2.034402318,-22.17625272,-4.944352916,67.84078077
11.63950317,-22.38291751,-19.71202115,11.20236407,-11.50773002,-6.930987319,0.225259501,-5.294086603,2.041477808,-22.18406656,-4.937941671,67.84114627
10.17952501,-15.82823451,-25.8659529,11.36887725,-11.19408956,-6.413658826,0.285094295,-5.298297632,2.048671743,-22.19192586,-4.931520616,67.84151159
4.791149293,-6.374566312,-30.84184822,11.26283776,-10.77909088,-5.874672551,0.3453851,-5.302134753,2.055984156,-22.19983056,-4.925089757,67.84187672
-2.811716233,4.231382557,-34.47687651,10.87463863,-10.26066796,-5.316379035,0.40597953,-5.305587932,2.06341499,-22.2077806,-4.918649101,67.84224166
-8.416573891,13.76431767,-36.60820714,10.19857133,-9.640653251,-4.741128817,0.466725199,-5.308647001,2.070964053,-22.21577592,-4.912198656,67.84260642
-8.724148999,21.02216759,-37.07353197,9.233769061,-8.925198428,-4.151272436,0.527469721,-5.311301662,2.078631025,-22.22381646,-4.905738429,67.84297099
-6.893249375,26.28094337,-35.71990925,7.99168991,-8.123413689,-3.549160432,0.58806071,-5.313541514,2.08641548,-22.23190216,-4.899268426,67.84333538
0.863376031,28.20059721,-32.42472274,6.514665832,-7.244957566,-2.937143345,0.648345779,-5.315356043,2.094316881,-22.24003297,-4.892788654,67.84369958
6.380934394,25.26180079,-27.10409721,4.855974472,-6.300368899,-2.317571714,0.708172544,-5.316734634,2.102334592,-22.24820882,-4.88629912,67.8440636
8.410770984,16.09591013,-19.87167708,3.073259039,-5.303854856,-1.69279608,0.767388618,-5.317666581,2.110467882,-22.25642964,-4.879799831,67.84442743
4.491665357,1.094002166,-11.19826201,1.225631497,-4.271091363,-1.065166981,0.825841615,-5.318141097,2.118715941,-22.2646954,-4.873290795,67.84479107
-6.781621848,-15.68670729,-1.636771579,-0.627649079,-3.217901458,-0.437034958,0.883379149,-5.318147326,2.127077889,-22.27300601,-4.866772017,67.84515453
-2.600918499,-28.36241395,8.259874651,-2.42734169,-2.160090098,0.189249449,0.939848835,-5.317674358,2.135552794,-22.28136143,-4.860243505,67.84551781
2.951926629,-31.07232839,17.97179288,-4.114660562,-1.113007022,0.811335702,0.995098285,-5.31671124,2.144139679,-22.28976159,-4.853705267,67.84588089
-2.039081151,-21.38445248,27.04203653,-5.63239395,-0.090427932,1.42687326,1.048975115,-5.315247,2.15283755,-22.29820644,-4.847157308,67.8462438
-6.871543248,-4.611393461,34.76987111,-6.923810344,0.894351699,2.033511584,1.101326939,-5.313270661,2.161645406,-22.30669591,-4.840599635,67.84660651
0.593531721,13.19685452,40.38535624,-7.932202568,1.828060733,2.628900135,1.15200137,-5.310771242,2.170562242,-22.31522994,-4.834032257,67.84696904
-0.013198316,28.1086308,43.11855151,-8.601198359,2.697762947,3.210688371,1.200846022,-5.307737762,2.179587055,-22.32380848,-4.827455179,67.84733139
5.141183105,32.74001615,42.21343059,-8.890370355,3.492552967,3.776525754,1.24770851,-5.30415924,2.18871884,-22.33243146,-4.820868408,67.84769355
8.353803561,23.09924043,37.24356053,-8.819874528,4.206155182,4.324061745,1.292436448,-5.300024695,2.197956594,-22.34109883,-4.814271952,67.84805553
3.778068914,2.23369581,28.89217127,-8.431794467,4.839118085,4.850945802,1.334877449,-5.295323145,2.20729931,-22.34981053,-4.807665818,67.84841732
-9.53130971,-20.1541706,18.11642996,-7.770090786,5.393569825,5.354827388,1.374879128,-5.29004361,2.216745987,-22.35856649,-4.801050011,67.84877892
-9.242396479,-33.43913641,5.873503728,-6.878736478,5.871650931,5.833355961,1.412289099,-5.284175109,2.226295618,-22.36736666,-4.79442454,67.84914034
1.704117564,-32.72179203,-6.87100062,-5.801704536,6.275501932,6.284180983,1.446954976,-5.277706661,2.2359472,-22.37621097,-4.787789411,67.84950157
11.69843742,-21.44920932,-19.16589085,-4.582967952,6.607263357,6.704951913,1.478724372,-5.270627284,2.245699729,-22.38509937,-4.781144631,67.84986262
11.83475071,-4.648189704,-30.24422781,-3.26649972,6.869075733,7.093318213,1.507444902,-5.262925997,2.255552201,-22.3940318,-4.774490208,67.85022348
-2.144946707,13.6548304,-39.38724557,-1.896272833,7.063079591,7.446929341,1.532964181,-5.25459182,2.26550361,-22.4030082,-4.767826147,67.85058416
-13.91468636,27.90944191,-45.87617817,-0.516260282,7.191415458,7.76343476,1.555129821,-5.245613772,2.275552953,-22.41202851,-4.761152456,67.85094465
-11.60588096,33.42261696,-48.99225968,0.829564938,7.256223864,8.040483928,1.573789437,-5.235980871,2.285699226,-22.42109266,-4.754469142,67.85130496
-0.186637696,31.42797846,-48.16187537,2.102424766,7.259637939,8.275733705,1.588790644,-5.225682136,2.295941424,-22.4302006,-4.747776212,67.85166508
5.64788952,25.27915449,-43.46514872,3.28432087,7.203538057,8.467093706,1.599981055,-5.214706586,2.306278543,-22.43935228,-4.741073672,67.85202501
9.066100877,14.86548073,-35.46665983,4.362449846,7.088722873,8.613555263,1.607208322,-5.203043279,2.316709579,-22.44854762,-4.73436153,67.85238476
15.02104399,-0.32813044,-24.99121292,5.324008291,6.914766342,8.715334413,1.610320841,-5.190682015,2.327233527,-22.45778657,-4.727639793,67.85274433
19.74270978,-15.66693723,-12.91038493,6.156192805,6.67995154,8.773938068,1.609170332,-5.177615917,2.337849384,-22.46706907,-4.720908467,67.85310371
17.14432206,-27.04845711,-0.066726449,6.846199984,6.382248381,8.791186302,1.603612887,-5.163842486,2.348556144,-22.47639506,-4.71416756,67.8534629
-4.025565575,-32.52973408,12.83140871,7.380983766,6.019859882,8.768884038,1.59353074,-5.149360646,2.359352805,-22.48576448,-4.707417078,67.85382191
-23.19641824,-31.29234115,25.15821446,7.745207921,5.593279223,8.708722587,1.578919864,-5.134169452,2.37023836,-22.49517727,-4.700657028,67.85418074
-26.20353228,-23.22473585,36.2306004,7.917908723,5.108627082,8.612309481,1.559860012,-5.118267959,2.381211807,-22.50463338,-4.693887418,67.85453938
-24.72068251,-9.508053279,45.34663226,7.87627142,4.573875163,8.481237483,1.536445765,-5.101655282,2.39227214,-22.51413274,-4.687108253,67.85489783
-12.16026883,6.825196495,51.80437574,7.596919199,3.997557232,8.317099358,1.508772702,-5.084331532,2.403418356,-22.52367528,-4.680319542,67.8552561
5.395721786,21.85209051,54.90189658,7.056222473,3.388459827,8.121487868,1.476939546,-5.066299968,2.414649451,-22.53326096,-4.673521291,67.85561418
12.45238813,31.76262002,53.92485698,6.242918104,2.755406538,7.895995779,1.441045986,-5.047564811,2.425964419,-22.54288972,-4.666713507,67.85597208
31.89898876,31.23997896,48.40194272,5.195356954,2.107220954,7.642215854,1.401191764,-5.028130339,2.437362258,-22.55256148,-4.659896196,67.85632979
15.01095615,16.76823273,39.0223907,3.964293386,1.452726666,7.361740857,1.35747662,-5.008000825,2.448841962,-22.5622762,-4.653069367,67.85668732
-22.53791308,-4.769172209,26.77769261,2.600481762,0.800747263,7.056163552,1.310000297,-4.987180544,2.460402527,-22.57203381,-4.646233025,67.85704466
-33.66489493,-23.27012111,12.66174447,1.154676446,0.160106335,6.727076702,1.258862535,-4.965673773,2.472042949,-22.58183426,-4.639387178,67.85740182
-10.94279629,-31.69696835,-2.331557694,-0.322368201,-0.460372529,6.376073072,1.204163075,-4.943484787,2.483762224,-22.59167748,-4.632531833,67.85775879
4.801667351,-30.12657142,-17.19990612,-1.779897815,-1.051865739,6.004745426,1.14600166,-4.920617859,2.495559347,-22.60156342,-4.625666996,67.85811558
12.00962165,-21.02585771,-30.94876431,-3.167158035,-1.605549705,5.614686527,1.084478029,-4.897077267,2.507433314,-22.61149201,-4.618792675,67.85847218
20.75632376,-7.567888021,-42.74159384,-4.433394497,-2.112600838,5.20748914,1.019691926,-4.872867285,2.519383122,-22.62146319,-4.611908876,67.8588286
21.39108854,7.533313441,-51.8249506,-5.52785284,-2.564195548,4.784746028,0.95174309,-4.847992188,2.531407765,-22.63147692,-4.605015606,67.85918483
15.72287569,21.78972817,-57.60104101,-6.3997787,-2.951510246,4.348049955,0.880731264,-4.822456251,2.543506239,-22.64153311,-4.598112873,67.85954088
15.63691223,31.26579877,-59.51079994,-6.998417716,-3.265721341,3.898993686,0.806756188,-4.79626375,2.555677541,-22.65163173,-4.591200683,67.85989674
17.94564913,33.3487439,-56.97891859,-7.289259172,-3.498005244,3.439169983,0.729917604,-4.76941896,2.567920665,-22.6617727,-4.584279043,67.86025242
19.92231747,27.14253486,-49.58264632,-7.301332701,-3.640972613,2.970171612,0.650315254,-4.741926156,2.580234608,-22.67195596,-4.57734796,67.86060791
24.39425063,13.82266017,-37.88860839,-7.073049923,-3.694095764,2.493591335,0.568048877,-4.713789613,2.592618365,-22.68218147,-4.570407442,67.86096322
27.22344558,-2.890568554,-23.22291671,-6.636889553,-3.662825747,2.011067743,0.483218217,-4.685013607,2.605070932,-22.69244915,-4.563457494,67.86131834
28.32911529,-18.96171447,-7.014024442,-6.024147209,-3.553996056,1.524438774,0.395923014,-4.655602413,2.617591305,-22.70275895,-4.556498124,67.86167328
17.96466193,-30.46472149,9.444806816,-5.265884788,-3.374770446,1.035638906,0.306263009,-4.625560306,2.63017848,-22.7131108,-4.549529339,67.86202803
-10.16378492,-36.63070359,24.92475812,-4.393105758,-3.13234504,0.546576557,0.214337944,-4.594891561,2.642831451,-22.72350466,-4.542551146,67.8623826
-25.9385733,-35.75661658,38.40132999,-3.436813584,-2.833999382,0.059243563,0.120247559,-4.563600453,2.655549216,-22.73394046,-4.535563551,67.86273698
-33.13163217,-28.16341783,49.3436054,-2.428011736,-2.487259036,-0.424122219,0.024091597,-4.531691258,2.668330769,-22.74441813,-4.528566562,67.86309118
-37.39933143,-13.82579796,57.33884153,-1.397703679,-2.099874634,-0.901057863,-0.074030201,-4.499168251,2.681175107,-22.75493762,-4.521560185,67.86344519
-25.21341183,5.98692327,61.97429555,-0.376892881,-1.679800422,-1.36889683,-0.174018094,-4.466035707,2.694081225,-22.76549887,-4.514544428,67.86379902
16.12494379,26.53486818,62.83722466,0.603417192,-1.235125297,-1.82483793,-0.275772341,-4.432297901,2.707048119,-22.77610183,-4.507519298,67.86415266
22.60908243,41.10362923,59.51101988,1.516089209,-0.773962807,-2.266055321,-0.379193201,-4.397959109,2.720074784,-22.78674642,-4.5004848,67.86450612
38.10314995,42.48041579,51.831192,2.349450391,-0.304431605,-2.689718057,-0.484180931,-4.363023606,2.733160217,-22.7974326,-4.493440943,67.86485939
